Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 29, 2023;31.00;31.00;30.82;30.85;30.85;5
Dec 28, 2023;30.96;31.07;30.82;30.82;30.82;17
Dec 27, 2023;31.08;31.22;31.07;31.20;31.09;23,4
Dec 26, 2023;30.81;31.12;30.81;31.03;30.92;10,9
Dec 22, 2023;30.90;30.90;30.77;30.81;30.70;3,1
Dec 21, 2023;30.70;30.81;30.59;30.80;30.69;10,5
Dec 20, 2023;30.83;30.83;30.46;30.46;30.35;8,4
Dec 19, 2023;30.63;30.83;30.61;30.83;30.71;23,6
Dec 18, 2023;30.50;30.51;30.42;30.49;30.38;8,8
Dec 15, 2023;30.69;30.69;30.50;30.54;30.43;8,9
Dec 14, 2023;30.82;30.92;30.70;30.80;30.69;8,7
Dec 13, 2023;30.37;30.84;30.24;30.80;30.69;16,7
Dec 12, 2023;30.31;30.37;30.31;30.36;30.26;4,6
Dec 11, 2023;30.18;30.36;30.18;30.35;30.24;9
Dec 08, 2023;30.24;30.29;30.18;30.29;30.18;6,3
Dec 07, 2023;30.08;30.15;29.94;30.15;30.04;52,1
Dec 06, 2023;30.00;30.20;29.96;29.96;29.85;9,4
Dec 05, 2023;29.86;29.94;29.82;29.93;29.82;8,4
Dec 04, 2023;29.70;29.89;29.70;29.82;29.71;7,5
Dec 01, 2023;29.59;29.99;29.42;29.93;29.82;9,5
Nov 30, 2023;29.63;29.68;29.57;29.68;29.57;3,4
Nov 29, 2023;29.75;29.80;29.75;29.77;29.66;1,2
Nov 28, 2023;29.35;29.55;29.29;29.50;29.39;4
Nov 27, 2023;29.29;29.46;29.29;29.34;29.23;1,1
Nov 24, 2023;29.33;29.48;29.33;29.48;29.37;2,6
Nov 22, 2023;29.18;29.21;29.06;29.13;29.02;2,7
Nov 21, 2023;29.26;29.26;29.06;29.13;29.02;7,2
Nov 20, 2023;29.08;29.25;29.08;29.24;29.13;3,2
Nov 17, 2023;28.99;29.14;28.96;29.14;29.03;10,3
Nov 16, 2023;28.77;28.91;28.69;28.79;28.69;3,1
Nov 15, 2023;28.59;28.68;28.55;28.60;28.50;7,2
Nov 14, 2023;28.33;28.50;28.29;28.46;28.36;12,5
Nov 13, 2023;27.39;27.60;27.27;27.57;27.47;7,7
Nov 10, 2023;27.33;27.48;27.21;27.42;27.32;14,6
Nov 09, 2023;27.51;27.63;27.28;27.28;27.18;8,5
Nov 08, 2023;27.24;27.34;27.24;27.31;27.21;9,9
Nov 07, 2023;27.11;27.18;27.01;27.14;27.04;33,9
Nov 06, 2023;27.30;27.30;27.06;27.23;27.13;13,5
Nov 03, 2023;27.38;27.48;27.31;27.38;27.28;5,1
Nov 02, 2023;27.07;27.16;26.98;27.06;26.96;5,3
Nov 01, 2023;26.39;26.58;26.37;26.58;26.48;1,9
Oct 31, 2023;26.28;26.43;26.19;26.32;26.22;4,1
Oct 30, 2023;26.26;26.35;26.18;26.35;26.25;5,8
Oct 27, 2023;26.26;26.26;25.90;25.93;25.84;3,3
Oct 26, 2023;26.14;26.27;26.00;26.06;25.97;4,8
Oct 25, 2023;26.42;26.48;26.30;26.33;26.23;6,6
Oct 24, 2023;26.44;26.47;26.40;26.47;26.37;800
Oct 23, 2023;26.18;26.56;26.10;26.45;26.35;30
Oct 20, 2023;26.42;26.44;26.26;26.28;26.18;9,3
Oct 19, 2023;26.72;26.78;26.62;26.65;26.55;5,7
Oct 18, 2023;26.75;26.81;26.57;26.57;26.47;9,6
Oct 17, 2023;26.87;27.20;26.87;27.11;27.01;2,9
Oct 16, 2023;26.90;27.10;26.90;27.10;27.00;8,4
Oct 13, 2023;26.98;26.98;26.71;26.76;26.66;9,2
Oct 12, 2023;27.51;27.56;27.15;27.15;27.05;3,7
Oct 11, 2023;27.53;27.55;27.44;27.51;27.41;9,7
Oct 10, 2023;27.02;27.44;27.02;27.44;27.34;8,6
Oct 09, 2023;26.78;26.97;26.72;26.97;26.87;3
Oct 06, 2023;26.68;27.22;26.63;27.12;27.02;4,6
Oct 05, 2023;26.71;26.77;26.61;26.77;26.67;3
Oct 04, 2023;26.71;26.75;26.50;26.75;26.65;4
Oct 03, 2023;26.57;26.66;26.44;26.47;26.37;13,8
Oct 02, 2023;27.04;27.04;26.76;26.80;26.70;11,4
Sep 29, 2023;27.49;27.56;27.18;27.18;27.08;5
Sep 28, 2023;27.18;27.24;27.11;27.23;27.13;4,7
Sep 27, 2023;26.94;26.94;26.63;26.88;26.78;10,7
Sep 26, 2023;27.11;27.14;26.90;26.99;26.89;11,3
Sep 25, 2023;27.35;27.39;27.23;27.37;27.27;5,3
Sep 22, 2023;27.80;27.85;27.66;27.73;27.63;35,4
Sep 21, 2023;27.89;27.90;27.74;27.74;27.64;13,2
Sep 20, 2023;28.32;28.42;28.05;28.05;27.95;3,9
Sep 19, 2023;28.13;28.13;28.02;28.12;28.02;5,3
Sep 18, 2023;28.08;28.24;28.08;28.20;28.10;14,7
Sep 15, 2023;28.43;28.49;28.33;28.33;28.23;3,2
Sep 14, 2023;28.19;28.35;28.18;28.30;28.20;6,2
Sep 13, 2023;28.08;28.26;28.06;28.10;28.00;4,1
Sep 12, 2023;28.22;28.34;28.22;28.22;28.12;4,7
Sep 11, 2023;28.45;28.50;28.37;28.49;28.39;1,8
Sep 08, 2023;28.21;28.31;28.19;28.20;28.10;1,3
Sep 07, 2023;28.23;28.24;28.09;28.23;28.13;15,6
Sep 06, 2023;28.39;28.39;28.23;28.35;28.25;3,2
Sep 05, 2023;28.61;28.61;28.29;28.30;28.20;7,1
Sep 01, 2023;29.01;29.01;28.63;28.72;28.62;3,5
Aug 31, 2023;29.16;29.16;28.93;28.98;28.88;3,6
Aug 30, 2023;29.19;29.21;29.03;29.16;29.05;3,1
Aug 29, 2023;28.68;29.15;28.68;29.15;29.04;5,3
Aug 28, 2023;28.59;28.74;28.59;28.74;28.63;3,1
Aug 25, 2023;28.42;28.43;28.26;28.43;28.33;4,3
Aug 24, 2023;28.42;28.42;28.24;28.24;28.14;2,2
Aug 23, 2023;28.54;28.67;28.50;28.65;28.55;27,2
Aug 22, 2023;28.69;28.69;28.51;28.58;28.48;5,9
Aug 21, 2023;28.52;28.68;28.42;28.60;28.50;1,8
Aug 18, 2023;28.22;28.46;28.16;28.39;28.29;3,8
Aug 17, 2023;28.76;28.76;28.40;28.53;28.43;9,3
Aug 16, 2023;28.79;28.86;28.63;28.63;28.53;3,1
Aug 15, 2023;28.84;28.84;28.75;28.75;28.65;1
Aug 14, 2023;28.99;29.15;28.95;29.15;29.04;4,7
Aug 11, 2023;29.17;29.17;29.04;29.07;28.96;3,7
Aug 10, 2023;29.53;29.65;29.31;29.31;29.20;4,2
Aug 09, 2023;29.17;29.35;29.17;29.19;29.08;3,8
Aug 08, 2023;29.01;29.15;28.89;29.15;29.04;9,7
Aug 07, 2023;29.37;29.50;29.28;29.50;29.39;4,2
